date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:44	155931/155931	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:44%20GMT	https://www.cambiumnetworks.com/solutions/outdoor-wireless-for-private-networks/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/outdoor-wireless-for-private-networks/index.html	(from https://www.cambiumnetworks.com/)
11:19:44	149655/149655	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:44%20GMT	https://www.cambiumnetworks.com/markets/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/index.html	(from https://www.cambiumnetworks.com/)
11:19:45	154455/154455	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:45%20GMT	https://www.cambiumnetworks.com/markets/federal-defense/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/federal-defense/index.html	(from https://www.cambiumnetworks.com/)
11:19:45	159481/159481	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:45%20GMT	https://www.cambiumnetworks.com/solutions/hybrid-networks/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/hybrid-networks/index.html	(from https://www.cambiumnetworks.com/)
11:19:45	4728/4728	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:45%20GMT	https://support.cambiumnetworks.com/login?camefrom=https%3A%2F%2Fsupport.cambiumnetworks.com%2Ffiles	/Users/anirbanbanerjee/websites/cn/support.cambiumnetworks.com/login722d.html	(from https://www.cambiumnetworks.com/)
11:19:46	157154/157154	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:47%20GMT	https://www.cambiumnetworks.com/markets/healthcare/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/healthcare/index.html	(from https://www.cambiumnetworks.com/)
11:19:49	156441/156441	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:47%20GMT	https://www.cambiumnetworks.com/markets/hospitality/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/hospitality/index.html	(from https://www.cambiumnetworks.com/)
11:19:49	157086/157086	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:47%20GMT	https://www.cambiumnetworks.com/markets/higher-education/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/higher-education/index.html	(from https://www.cambiumnetworks.com/)
11:19:50	154804/154804	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:47%20GMT	https://www.cambiumnetworks.com/markets/mining-and-minerals/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/mining-and-minerals/index.html	(from https://www.cambiumnetworks.com/)
11:19:50	57135/57135	---M--	200	added ('OK')	image/jpeg	etag:%2261c0d44e-f598%22	https://www.cambiumnetworks.com/wp-content/uploads/home-wireless-works-logo.jpg	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/home-wireless-works-logo.jpg	(from https://www.cambiumnetworks.com/)
11:19:50	978277/978277	---M--	200	added ('OK')	image/png	etag:%2261c0d44f-f1648%22	https://www.cambiumnetworks.com/wp-content/uploads/cn-home-page-circle-collage.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/cn-home-page-circle-collage.png	(from https://www.cambiumnetworks.com/)
11:19:51	5384/5384	---M--	200	added ('OK')	image/png	etag:%2261c0d44f-1e4a%22	https://www.cambiumnetworks.com/wp-content/uploads/logo-pentanet-stacked.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/logo-pentanet-stacked.png	(from https://www.cambiumnetworks.com/)
11:19:52	154155/154155	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:51%20GMT	https://www.cambiumnetworks.com/markets/multiple-dwelling-units/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/multiple-dwelling-units/index.html	(from https://www.cambiumnetworks.com/)
11:19:52	160240/160240	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:52%20GMT	https://www.cambiumnetworks.com/markets/primary-k-12-education/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/primary-k-12-education/index.html	(from https://www.cambiumnetworks.com/)
11:19:54	154935/154935	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:53%20GMT	https://www.cambiumnetworks.com/markets/national-law-enforcement/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/national-law-enforcement/index.html	(from https://www.cambiumnetworks.com/)
11:19:54	232873/232873	---M--	200	added ('OK')	image/jpeg	etag:%2262262565-3c922%22	https://www.cambiumnetworks.com/wp-content/uploads/home-latest-news-office-team-with-laptop.jpg	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/home-latest-news-office-team-with-laptop.jpg	(from https://www.cambiumnetworks.com/)
11:19:54	154458/154458	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:53%20GMT	https://www.cambiumnetworks.com/markets/oil-and-gas/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/oil-and-gas/index.html	(from https://www.cambiumnetworks.com/)
11:19:55	54674/54674	---M--	200	added ('OK')	image/jpeg	etag:%2261c0d44e-e0cb%22	https://www.cambiumnetworks.com/wp-content/uploads/home-feature-00-child-at-computer.jpg	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/home-feature-00-child-at-computer.jpg	(from https://www.cambiumnetworks.com/)
11:19:56	166955/166955	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:55%20GMT	https://www.cambiumnetworks.com/markets/public-safety/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/public-safety/index.html	(from https://www.cambiumnetworks.com/)
11:19:56	157646/157646	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:56%20GMT	https://www.cambiumnetworks.com/markets/residential-broadband/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/residential-broadband/index.html	(from https://www.cambiumnetworks.com/)
11:19:57	62695/62695	---M--	200	added ('OK')	image/jpeg	etag:%2261c0d44e-100e0%22	https://www.cambiumnetworks.com/wp-content/uploads/home-feature-04-shopkeepers-with-tablet.jpg	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/home-feature-04-shopkeepers-with-tablet.jpg	(from https://www.cambiumnetworks.com/)
11:19:58	154013/154013	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:57%20GMT	https://www.cambiumnetworks.com/markets/government/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/government/index.html	(from https://www.cambiumnetworks.com/)
11:19:58	155955/155955	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:58%20GMT	https://www.cambiumnetworks.com/markets/smart-cities/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/smart-cities/index.html	(from https://www.cambiumnetworks.com/)
11:20:00	52559/52559	---M--	200	added ('OK')	image/jpeg	etag:%2261c0d44e-d99b%22	https://www.cambiumnetworks.com/wp-content/uploads/home-feature-02-customer-support-agent.jpg	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/home-feature-02-customer-support-agent.jpg	(from https://www.cambiumnetworks.com/)
11:20:00	155950/155950	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:59%20GMT	https://www.cambiumnetworks.com/markets/transportation-and-logistics/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/transportation-and-logistics/index.html	(from https://www.cambiumnetworks.com/)
11:20:00	157664/157664	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:00%20GMT	https://www.cambiumnetworks.com/markets/utilities/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/utilities/index.html	(from https://www.cambiumnetworks.com/)
11:20:01	62100/62100	---M--	200	added ('OK')	image/png	etag:%2261c0d45b-f5e9%22	https://www.cambiumnetworks.com/wp-content/uploads/product-finder-featured-img.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/product-finder-featured-img.png	(from https://www.cambiumnetworks.com/)
11:20:02	157385/157385	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:01%20GMT	https://www.cambiumnetworks.com/markets/wireless-video-surveillance/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/wireless-video-surveillance/index.html	(from https://www.cambiumnetworks.com/)
11:20:02	158285/158285	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:02%20GMT	https://www.cambiumnetworks.com/where-to-buy/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/where-to-buy/index.html	(from https://www.cambiumnetworks.com/)
11:20:02	163100/163100	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:20:02%20GMT	https://www.cambiumnetworks.com/partners/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/partners/index.html	(from https://www.cambiumnetworks.com/)
